Número,Fecha,Total
"Gaucha Sur - 001100","1/6/2026","23320"
"Gaucha Sur - 001101","1/6/2026","3300"
"Gaucha Sur - 001102","1/6/2026","4620"
"Gaucha Sur - 001103","1/6/2026","21780"
"Gaucha Sur - 001107","1/6/2026","3850"
"Gaucha Sur - 001108","1/6/2026","1650"
"Gaucha Sur - 001109","1/6/2026","3850"
"Gaucha Sur - 001110","1/6/2026","10450"
"Gaucha Sur - 001112","1/6/2026","15400"
"Gaucha Sur - 001113","1/6/2026","8470"
"Gaucha Sur - 001114","1/6/2026","3850"
"Gaucha Sur - 001115","1/6/2026","11220"
"Gaucha Sur - 001116","1/6/2026","6127"
"Gaucha Sur - 001117","1/6/2026","6600"
"Gaucha Sur - 001118","1/6/2026","15180"
"Gaucha Sur - 001119","1/6/2026","7700"
"Gaucha Sur - 001120","1/6/2026","3850"
"Gaucha Sur - 001121","1/6/2026","16720"
"Gaucha Sur - 001122","1/6/2026","7700"
"Gaucha Sur - 001123","1/6/2026","3300"
"Gaucha Sur - 001124","1/6/2026","4500.1"
"Gaucha Sur - 001125","1/6/2026","12650"
"Gaucha Sur - 001127","1/6/2026","6600"
"Gaucha Sur - 001129","1/6/2026","6600"
"Gaucha Sur - 001130","1/6/2026","3300"
"Gaucha Sur - 001131","1/6/2026","3300"
"Gaucha Sur - 001133","1/6/2026","3300"
"Gaucha Sur - 001135","1/6/2026","3300"
"Gaucha Sur - 001137","1/6/2026","7700"
"Gaucha Sur - 001139","1/6/2026","10560"
"Gaucha Sur - 001138","1/6/2026","1650"
"Gaucha Sur - 001140","1/6/2026","9900"
"Gaucha Sur - 001141","1/6/2026","3850"
"Gaucha Sur - 001143","1/6/2026","19800"
"Gaucha Sur - 001145","1/6/2026","7150"
"Gaucha Sur - 001147","1/6/2026","7700"
"Gaucha Sur - 001148","1/6/2026","3850"
"Gaucha Sur - 001153","2/6/2026","7150"
"Gaucha Sur - 001157","2/6/2026","880"
"Gaucha Sur - 001158","2/6/2026","1650"
"Gaucha Sur - 001159","2/6/2026","6050"
"Gaucha Sur - 001160","2/6/2026","3850"
"Gaucha Sur - 001161","2/6/2026","6600"
"Gaucha Sur - 001162","2/6/2026","1760"
"Gaucha Sur - 001163","2/6/2026","3850"
"Gaucha Sur - 001164","2/6/2026","3850"
"Gaucha Sur - 001165","2/6/2026","6600"
"Gaucha Sur - 001166","2/6/2026","3300"
"Gaucha Sur - 001167","2/6/2026","9900"
"Gaucha Sur - 001168","2/6/2026","7700"
"Gaucha Sur - 001169","2/6/2026","1650"
"Gaucha Sur - 001170","2/6/2026","16720"
"Gaucha Sur - 001171","2/6/2026","7700"
"Gaucha Sur - 001172","2/6/2026","22660"
"Gaucha Sur - 001173","2/6/2026","3850"
"Gaucha Sur - 001174","2/6/2026","6600"
"Gaucha Sur - 001176","2/6/2026","3850"
"Gaucha Sur - 001177","2/6/2026","5280"
"Gaucha Sur - 001178","2/6/2026","3850"
"Gaucha Sur - 001179","2/6/2026","3850"
"Gaucha Sur - 001181","2/6/2026","3300"
"Gaucha Sur - 001182","2/6/2026","12650"
"Gaucha Sur - 001183","2/6/2026","10560"
"Gaucha Sur - 001185","2/6/2026","10560"
"REEMBOLSO DE Gaucha Sur - 001185","2/6/2026","-10560"
"Gaucha Sur - 001188","2/6/2026","3850"
"Gaucha Sur - 001189","2/6/2026","3850"
"Gaucha Sur - 001190","2/6/2026","3850"
"Gaucha Sur - 001198","3/6/2026","6490"
